dataset,fname,label,sublabel,integer_label
a,set_a/normal__201106221418.wav,normal,,1
a,set_a/normal__201106221450.wav,normal,,1
a,set_a/normal__201108011112.wav,normal,,1
a,set_a/normal__201108011114.wav,normal,,1
a,set_a/normal__201108011115.wav,normal,,2
a,set_a/normal__201108011118.wav,normal,,1
a,set_a/__201012172010.wav,,,0
a,set_a/__201101051105.wav,,,2
a,set_a/__201101061552.wav,,,2
a,set_a/__201101091156.wav,,,1
a,set_a/__201101110659.wav,,,1
a,set_a/__201101152256.wav,,,1
a,set_a/__201101220549.wav,,,1
a,set_a/__201101241434.wav,,,1
a,set_a/__201102081033.wav,,,0
a,set_a/__201102081045.wav,,,1
a,set_a/__201102200848.wav,,,0
a,set_a/__201103011036.wav,,,1
a,set_a/__201103140236.wav,,,1
a,set_a/__201103170122.wav,,,1
a,set_a/__201103200518.wav,,,2
a,set_a/__201103201314.wav,,,1
a,set_a/__201103232251.wav,,,0
a,set_a/__201103241336.wav,,,1
a,set_a/__201104012144.wav,,,1
a,set_a/__2011040239.wav,,,1
a,set_a/__201105011546.wav,,,1
a,set_a/__20110501548.wav,,,1
a,set_a/__201105031730.wav,,,2
a,set_a/__201106010807.wav,,,0
a,set_a/__201106030607.wav,,,0
a,set_a/__201106031556.wav,,,0
a,set_a/__201106040930.wav,,,0
a,set_a/__201106061104.wav,,,0
a,set_a/__201106061215.wav,,,0
a,set_a/__201106100606.wav,,,0
a,set_a/__201106111419.wav,,,1
a,set_a/__201106120928.wav,,,0
a,set_a/__201106130440.wav,,,0
a,set_a/__201106150614.wav,,,0
a,set_a/__201106170857.wav,,,0
a,set_a/__201106171155.wav,,,0
a,set_a/__201106191034.wav,,,0
a,set_a/__201106211725.wav,,,1
a,set_a/__201106212102.wav,,,0
a,set_a/__201108011111.wav,,,2
a,set_a/__201108011113.wav,,,1
a,set_a/__201108011116.wav,,,2
a,set_a/__201108011117.wav,,,2
a,set_a/__201108222222.wav,,,2
a,set_a/__201108222225.wav,,,2
a,set_a/__201108222228.wav,,,2
a,set_a/__201108222234.wav,,,2
a,set_a/__201108222241.wav,,,2
a,set_a/__201108222244.wav,,,2
a,set_a/__201108222247.wav,,,2
a,set_a/__201108222254.wav,,,2
a,set_a/__201108222257.wav,,,2
